ID;Nom;Slug;Prix (€);Prix Régulier (€);Prix Promo (€);En Promo;Stock;Statut;Catégories;URL;Type;Nombre Images;Première Image;Boussole Sensorielle
6986;"Oeuf de serpent / dragon";"oeuf-de-serpent-/-dragon";3;3;;Non;10;draft;"Boites, sacs & emballages";"https://spoolio.fr/?post_type=product&p=6986";variable;0;"";Non
7197;"Voiture pliante";"voiture-pliante";3.5;3.5;;Non;10;draft;"Non classé";"https://spoolio.fr/?post_type=product&p=7197";simple;0;"";Non
8073;"Pilulier semainier à motifs";"pilulier-semainier-motifs";4;4;;Non;10;draft;"Santé";"https://spoolio.fr/?post_type=product&p=8073";variable;4;"/images/imported/Spoolio_Pilulier-semaine-2.jpg";Non
8373;"Kit chasse aux trésor : spécial Pâques 🐰✨";"kit-chasse-aux-tresor-special-paques";20;27;20;Oui;10;draft;"Pochettes surprise";"https://spoolio.fr/?post_type=product&p=8373";simple;8;"/images/imported/OeufSpoolio.png";Non
8729;"Prénoms personnalisés";"prenom-personnalise";3;3;;Non;10;draft;"Non classé";"https://spoolio.fr/?post_type=product&p=8729";variable;0;"";Non
9889;"L’incroyable pochette surprise Secret Santa !";"pochette-surprise-secret-santa";5;5;;Non;10;draft;"Pochettes surprise";"https://spoolio.fr/?post_type=product&p=9889";variable;13;"/images/imported/Spoolio_SecretSanta-PochetteCouv-scaled.jpg";Non
9994;"Peigne à moustache";"peigne-a-moustache";2;2;;Non;10;draft;"Santé";"https://spoolio.fr/?post_type=product&p=9994";simple;4;"/images/imported/Spoolio_Movember-peigne-5-scaled.webp";Non
10493;"Boucles d'oreilles - feuilles été";"boucles-d'oreilles---feuilles-été";4.00;4.00;;Non;10;draft;"Bijoux";"https://spoolio.fr/?post_type=product&p=10493";variable;0;"";Non
11684;"Pack chien de traineau";"pack-chien-de-traineau";8;8;;Non;10;draft;"Non classé";"https://spoolio.fr/?post_type=product&p=11684";simple;0;"";Non
